date,revenue,marketing_spend,customer_acquired,team_size,product_quality
2024-01-01,5000,500,12,3,7
2024-01-15,5500,600,14,3,7
2024-02-01,6200,700,16,3,8
2024-02-15,6800,800,18,4,8
2024-03-01,7500,900,20,4,8
2024-03-15,8200,1000,22,4,9
2024-04-01,9000,1100,25,5,9
2024-04-15,9800,1200,27,5,9
2024-05-01,10500,1300,30,5,9
2024-05-15,11200,1400,32,6,9
2024-06-01,12000,1500,35,6,10
2024-06-15,12800,1600,37,6,10
2024-07-01,13500,1700,40,7,10
2024-07-15,14200,1800,42,7,10
2024-08-01,15000,1900,45,7,10
2024-08-15,15800,2000,47,8,10
2024-09-01,16500,2100,50,8,10
2024-09-15,17200,2200,52,8,10
2024-10-01,18000,2300,55,9,10
2024-10-15,18800,2400,57,9,10
2024-11-01,19500,2500,60,9,10
2024-11-15,20200,2600,62,10,10
2024-12-01,21000,2700,65,10,10
2024-12-15,21800,2800,67,10,10
2025-01-01,22500,2900,70,11,10
2025-01-15,23200,3000,72,11,10
2025-02-01,24000,3100,75,11,10
2025-02-15,24800,3200,77,12,10
2025-03-01,25500,3300,80,12,10
2025-03-12,26200,3400,82,12,10
